,player_win,player_loss,push,win_push,total_hands,win_pct,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_ten,dealer_bust,dealer_draw,dealer_21_draw,dealer_ten_pct,dealer_bust_pct,dealer_draw_pct,dealer_21_draw_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,20,23,1,21,44,0.455,0.477,1,1,0.5,4,0,13,9,15,4,0.295,0.205,0.341,0.091,17.5,2,1
0,22,18,4,26,44,0.5,0.591,7,0,1,0,1,12,12,13,2,0.273,0.273,0.295,0.045,17.483,3,1
0,20,23,3,23,46,0.435,0.5,4,2,0.667,0,3,13,13,11,4,0.283,0.283,0.239,0.087,17.45,4,1
0,18,18,7,25,43,0.419,0.581,3,4,0.429,2,0,11,10,17,5,0.256,0.233,0.395,0.116,17.551,5,1
0,16,26,5,21,47,0.34,0.447,1,3,0.25,3,2,18,10,10,0,0.383,0.213,0.213,0,17.497,6,1
0,19,23,3,22,45,0.422,0.489,3,3,0.5,3,1,11,10,17,4,0.244,0.222,0.378,0.089,17.597,7,1
0,25,21,2,27,48,0.521,0.562,5,2,0.714,4,3,13,10,12,1,0.271,0.208,0.25,0.021,17.584,8,1
0,24,19,2,26,45,0.533,0.578,7,0,1,2,3,17,12,13,3,0.378,0.267,0.289,0.067,17.61,9,1
0,18,24,5,23,47,0.383,0.489,4,2,0.667,1,2,14,6,19,2,0.298,0.128,0.404,0.043,17.697,10,1
0,13,29,3,16,45,0.289,0.356,2,3,0.4,0,2,15,7,17,1,0.333,0.156,0.378,0.022,17.747,11,1
0,19,24,4,23,47,0.404,0.489,3,3,0.5,3,3,12,10,16,4,0.255,0.213,0.34,0.085,17.685,12,1
0,21,23,4,25,48,0.438,0.521,5,1,0.833,2,1,12,8,16,3,0.25,0.167,0.333,0.062,17.715,13,1
0,20,21,4,24,45,0.444,0.533,3,4,0.429,2,5,13,11,10,2,0.289,0.244,0.222,0.044,17.711,14,1
0,24,19,5,29,48,0.5,0.604,3,0,1,2,1,9,14,17,5,0.188,0.292,0.354,0.104,17.708,15,1
