shoe_index,player_win,player_loss,player_count,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method,shoe_outcome
1147,21,19,2,2,42,0.5,23,0.5479999999999999,1,2,0.33299999999999996,0,0,21,21,14,18,10,0.33299999999999996,0.429,0.23800000000000002,17.734,92,riffle_perfect,win
1150,22,18,4,3,43,0.512,25,0.581,2,2,0.5,2,1,27,16,13,13,17,0.302,0.302,0.395,17.749000000000002,95,riffle_perfect,win
1152,22,21,1,1,44,0.5,23,0.523,4,3,0.5710000000000001,4,1,25,19,12,11,21,0.273,0.25,0.47700000000000004,17.429000000000002,1,riffle_perfect,win
1161,22,21,1,1,44,0.5,23,0.523,6,0,1.0,3,2,27,17,13,9,22,0.295,0.205,0.5,17.682000000000002,10,riffle_perfect,win
1169,27,16,11,3,46,0.5870000000000001,30,0.652,4,2,0.667,3,0,24,22,13,14,19,0.28300000000000003,0.304,0.413,17.647000000000002,18,riffle_perfect,win
1191,23,19,4,3,45,0.511,26,0.578,1,4,0.2,5,3,30,15,7,14,24,0.156,0.311,0.5329999999999999,17.749000000000002,40,riffle_perfect,win
1194,24,18,6,2,44,0.545,26,0.591,4,3,0.5710000000000001,3,1,26,18,17,14,13,0.386,0.318,0.295,17.753,43,riffle_perfect,win
1196,28,14,14,2,44,0.636,30,0.682,4,1,0.8,2,1,20,24,18,17,9,0.409,0.386,0.205,17.752,45,riffle_perfect,win
1199,24,20,4,3,47,0.511,27,0.574,4,2,0.667,6,3,27,20,12,14,21,0.255,0.298,0.447,17.748,48,riffle_perfect,win
1210,22,20,2,3,45,0.489,25,0.556,9,1,0.9,4,1,34,11,13,10,22,0.289,0.222,0.489,17.713,59,riffle_perfect,win
1213,26,17,9,2,45,0.578,28,0.622,3,1,0.75,2,2,32,13,15,10,20,0.33299999999999996,0.222,0.444,17.719,62,riffle_perfect,win
1216,23,19,4,2,44,0.523,25,0.568,4,2,0.667,3,3,22,22,11,16,17,0.25,0.364,0.386,17.713,65,riffle_perfect,win
1218,26,17,9,0,43,0.605,26,0.605,6,2,0.75,1,0,26,17,18,9,16,0.419,0.209,0.37200000000000005,17.71,67,riffle_perfect,win
1224,22,21,1,3,46,0.478,25,0.5429999999999999,3,2,0.6,1,3,35,11,10,9,27,0.217,0.196,0.5870000000000001,17.721,73,riffle_perfect,win
1226,26,18,8,3,47,0.5529999999999999,29,0.617,5,5,0.5,3,0,24,23,11,17,19,0.23399999999999999,0.36200000000000004,0.40399999999999997,17.715999999999998,75,riffle_perfect,win
1234,22,21,1,3,46,0.478,25,0.5429999999999999,6,2,0.75,0,3,23,23,14,12,20,0.304,0.261,0.435,17.747,83,riffle_perfect,win
1237,22,21,1,1,44,0.5,23,0.523,5,2,0.7140000000000001,1,2,26,18,12,10,22,0.273,0.22699999999999998,0.5,17.73,86,riffle_perfect,win
1257,21,20,1,3,44,0.47700000000000004,24,0.545,4,4,0.5,0,3,27,17,16,13,15,0.364,0.295,0.341,17.743,10,riffle_perfect,win
1264,22,20,2,2,44,0.5,24,0.545,4,2,0.667,2,0,23,21,17,10,17,0.386,0.22699999999999998,0.386,17.717,17,riffle_perfect,win
1266,24,21,3,1,46,0.522,25,0.5429999999999999,5,1,0.833,3,3,23,23,14,11,21,0.304,0.239,0.457,17.645,19,riffle_perfect,win
