,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,22,21,4,47,0.468,26,0.553,0,3,0.0,0,5,31,16,15,13,19,0.319,0.277,0.404,18.054,24,riffle_clumpy
0,19,25,2,46,0.413,21,0.457,1,4,0.2,1,3,27,19,11,15,20,0.239,0.326,0.435,18.038,25,riffle_clumpy
0,16,29,3,48,0.333,19,0.396,2,4,0.333,1,3,29,19,8,19,21,0.167,0.396,0.438,18.065,26,riffle_clumpy
0,19,23,3,45,0.422,22,0.489,4,2,0.667,2,1,28,17,12,16,17,0.267,0.356,0.378,18.041,27,riffle_clumpy
0,23,21,3,47,0.489,26,0.553,4,4,0.5,0,3,29,18,15,14,18,0.319,0.298,0.383,18.059,28,riffle_clumpy
0,13,30,4,47,0.277,17,0.362,4,2,0.667,0,3,32,15,10,16,21,0.213,0.34,0.447,18.062,29,riffle_clumpy
0,19,27,2,48,0.396,21,0.438,0,0,0,2,2,32,16,12,15,21,0.25,0.312,0.438,18.068,30,riffle_clumpy
0,23,21,5,49,0.469,28,0.571,4,3,0.571,4,2,31,18,14,11,24,0.286,0.224,0.49,18.06,31,riffle_clumpy
0,18,26,4,48,0.375,22,0.458,2,1,0.667,2,1,30,18,7,16,25,0.146,0.333,0.521,18.073,32,riffle_clumpy
0,19,24,2,45,0.422,21,0.467,3,3,0.5,2,5,28,17,15,11,19,0.333,0.244,0.422,18.071,33,riffle_clumpy
0,20,19,6,45,0.444,26,0.578,4,1,0.8,3,0,25,20,12,16,17,0.267,0.356,0.378,18.067,34,riffle_clumpy
0,25,23,3,51,0.49,28,0.549,3,2,0.6,3,1,33,18,13,13,25,0.255,0.255,0.49,18.067,35,riffle_clumpy
0,21,22,2,45,0.467,23,0.511,3,1,0.75,2,2,31,14,16,11,18,0.356,0.244,0.4,18.063,36,riffle_clumpy
0,23,20,6,49,0.469,29,0.592,3,2,0.6,1,3,31,18,13,16,20,0.265,0.327,0.408,18.059,37,riffle_clumpy
0,24,22,1,47,0.511,25,0.532,4,4,0.5,3,3,32,15,16,12,19,0.34,0.255,0.404,18.059,38,riffle_clumpy
0,21,20,5,46,0.457,26,0.565,3,1,0.75,1,1,30,16,14,10,22,0.304,0.217,0.478,18.058,39,riffle_clumpy
0,26,16,2,44,0.591,28,0.636,3,1,0.75,1,0,29,15,17,14,13,0.386,0.318,0.295,18.051,40,riffle_clumpy
0,20,18,5,43,0.465,25,0.581,4,1,0.8,1,1,28,15,16,16,11,0.372,0.372,0.256,18.055,41,riffle_clumpy
0,17,26,5,48,0.354,22,0.458,5,3,0.625,3,4,32,16,13,10,25,0.271,0.208,0.521,18.06,42,riffle_clumpy
0,22,17,4,43,0.512,26,0.605,4,1,0.8,0,2,26,17,13,16,14,0.302,0.372,0.326,18.066,43,riffle_clumpy
0,23,22,4,49,0.469,27,0.551,4,4,0.5,4,3,27,22,14,19,16,0.286,0.388,0.327,18.069,44,riffle_clumpy
0,23,23,0,46,0.5,23,0.5,3,2,0.6,2,1,28,18,10,15,21,0.217,0.326,0.457,18.074,45,riffle_clumpy
0,25,20,2,47,0.532,27,0.574,4,3,0.571,1,1,25,22,16,14,17,0.34,0.298,0.362,18.068,46,riffle_clumpy
0,21,26,0,47,0.447,21,0.447,5,1,0.833,2,1,33,14,15,16,16,0.319,0.34,0.34,18.056,47,riffle_clumpy
0,20,22,5,47,0.426,25,0.532,3,4,0.429,5,0,29,18,14,17,16,0.298,0.362,0.34,18.046,48,riffle_clumpy
0,16,27,3,46,0.348,19,0.413,1,3,0.25,1,3,33,13,12,15,19,0.261,0.326,0.413,18.055,49,riffle_clumpy
0,19,25,2,46,0.413,21,0.457,1,3,0.25,2,4,26,20,14,13,19,0.304,0.283,0.413,18.059,50,riffle_clumpy
0,22,22,3,47,0.468,25,0.532,6,0,1.0,0,1,28,19,14,17,16,0.298,0.362,0.34,18.074,51,riffle_clumpy
0,22,25,1,48,0.458,23,0.479,1,1,0.5,2,1,29,19,13,14,21,0.271,0.292,0.438,18.065,52,riffle_clumpy
0,22,16,7,45,0.489,29,0.644,4,6,0.4,4,1,27,18,8,14,23,0.178,0.311,0.511,18.048,53,riffle_clumpy
0,25,19,1,45,0.556,26,0.578,4,2,0.667,2,2,26,19,18,9,18,0.4,0.2,0.4,18.046,54,riffle_clumpy
0,23,26,1,50,0.46,24,0.48,2,2,0.5,4,1,33,17,11,13,26,0.22,0.26,0.52,18.035,55,riffle_clumpy
0,17,29,3,49,0.347,20,0.408,3,7,0.3,4,4,26,23,8,18,23,0.163,0.367,0.469,18.023,56,riffle_clumpy
0,17,27,2,46,0.37,19,0.413,4,2,0.667,1,2,29,17,13,15,18,0.283,0.326,0.391,18.029,57,riffle_clumpy
0,25,18,3,46,0.543,28,0.609,2,0,1.0,2,4,29,17,16,15,15,0.348,0.326,0.326,18.031,58,riffle_clumpy
0,21,25,0,46,0.457,21,0.457,4,3,0.571,1,3,28,18,14,13,19,0.304,0.283,0.413,18.032,59,riffle_clumpy
0,19,23,3,45,0.422,22,0.489,3,2,0.6,1,1,28,17,14,17,14,0.311,0.378,0.311,18.039,60,riffle_clumpy
0,18,26,2,46,0.391,20,0.435,4,2,0.667,2,6,27,19,12,12,22,0.261,0.261,0.478,18.038,61,riffle_clumpy
0,20,23,5,48,0.417,25,0.521,2,1,0.667,0,4,26,22,14,17,17,0.292,0.354,0.354,18.044,62,riffle_clumpy
